ID,Date,Sentiment
494,2015-05-18,2
495,2015-05-17,2
496,2015-05-17,2
497,2015-05-17,2
498,2015-05-17,2
499,2015-05-17,2
500,2015-05-15,2
501,2015-05-13,3
502,2015-05-12,2
503,2015-05-12,2
504,2015-05-11,2
505,2015-05-11,2
506,2015-05-09,2
507,2015-05-09,2
508,2015-05-08,2
509,2015-05-08,2
510,2015-05-08,2
511,2015-05-08,3
512,2015-05-08,2
513,2015-05-06,2
514,2015-05-05,2
515,2015-05-05,3
516,2015-05-05,2
517,2015-05-05,3
518,2015-05-05,2
519,2015-05-05,2
520,2015-05-05,2
521,2015-05-05,2
522,2015-05-04,2
523,2015-05-04,2
524,2015-05-03,2
525,2015-05-02,2
526,2015-05-02,2
527,2015-05-01,2
528,2015-04-30,2
529,2015-04-30,2
530,2015-04-30,2
531,2015-04-30,2
532,2015-04-29,2
533,2015-04-29,2
534,2015-04-29,2
535,2015-04-29,1
536,2015-04-29,2
537,2015-04-28,2
538,2015-04-28,1
539,2015-04-28,2
540,2015-04-28,2
541,2015-04-28,2
542,2015-04-26,2
543,2015-04-25,2
544,2015-04-25,2
545,2015-04-24,2
546,2015-04-24,2
547,2015-04-22,2
548,2015-04-22,2
549,2015-04-22,2
550,2015-04-21,2
551,2015-04-21,2
552,2015-04-19,2
553,2015-04-19,2
554,2015-04-19,2
555,2015-04-19,2
556,2015-04-18,2
557,2015-04-17,2
558,2015-04-17,2
559,2015-04-16,2
560,2015-04-15,2
561,2015-04-15,2
562,2015-04-14,2
563,2015-04-14,2
564,2015-04-14,2
565,2015-04-13,3
566,2015-04-13,2
567,2015-04-11,2
568,2015-04-11,2
569,2015-04-10,2
570,2015-04-10,1
571,2015-04-10,2
572,2015-04-09,2
573,2015-04-08,2
574,2015-04-07,2
575,2015-04-07,2
576,2015-04-06,2
577,2015-04-02,1
578,2015-04-02,2
579,2015-04-02,2
580,2015-04-02,2
581,2015-04-01,2
582,2015-03-31,2
583,2015-03-31,2
584,2015-03-31,2
585,2015-03-30,2
586,2015-03-30,1
587,2015-03-30,2
588,2015-03-29,2
589,2015-03-29,2
590,2015-03-26,2
591,2015-03-24,2
592,2015-03-24,2
593,2015-03-23,2
594,2015-03-23,3
595,2015-03-22,2
596,2015-03-20,2
597,2015-03-20,2
598,2015-03-17,1
599,2015-03-16,2
600,2015-03-16,2
601,2015-03-16,2
602,2015-03-15,2
603,2015-03-13,2
604,2015-03-13,2
605,2015-03-12,2
606,2015-03-08,2
607,2015-03-08,2
608,2015-03-08,2
